game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2022_0326_134_132,2022-03-26T00:00:00+00:00,Bamberg Baskets,132,Medi Bayreuth,134,84,71,local,2021-22,0
2022_0326_133_1634,2022-03-26T00:00:00+00:00,EWE Baskets Oldenburg,1634,46ers Giessen,133,75,88,visitante,2021-22,0
2022_0326_215_19629,2022-03-26T00:00:00+00:00,Veolia Towers Hamburg,19629,MLP Academics Heidelberg,215,100,76,local,2021-22,0
2022_0326_450_1510,2022-03-26T00:00:00+00:00,Telekom Baskets Bonn,1510,SYNTAINICS MBC Weissenfels,450,90,85,local,2021-22,0
2022_0327_219_2315,2022-03-27T00:00:00+00:00,Merlins Crailsheim,2315,FC Bayern Muenchen Basketball,219,64,93,visitante,2021-22,0
2022_0327_1791_10,2022-03-27T00:00:00+00:00,ALBA Berlin,10,NINERS Chemnitz,1791,64,81,visitante,2021-22,0
2022_0327_214_2745,2022-03-27T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,BG Goettingen,214,89,76,local,2021-22,0
2022_0327_41_40,2022-03-27T00:00:00+00:00,Basketball Loewen Braunschweig,40,MHP Riesen Ludwigsburg,41,72,90,visitante,2021-22,0
2022_0329_215_3361,2022-03-29T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,MLP Academics Heidelberg,215,65,71,visitante,2021-22,0
2022_0329_132_2315,2022-03-29T00:00:00+00:00,Merlins Crailsheim,2315,Bamberg Baskets,132,81,91,visitante,2021-22,0
2022_0330_41_450,2022-03-30T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,MHP Riesen Ludwigsburg,41,75,77,visitante,2021-22,0
2022_0401_19629_2315,2022-04-01T00:00:00+00:00,Merlins Crailsheim,2315,Veolia Towers Hamburg,19629,63,113,visitante,2021-22,0
2022_0402_1510_41,2022-04-02T00:00:00+00:00,MHP Riesen Ludwigsburg,41,Telekom Baskets Bonn,1510,88,97,visitante,2021-22,0
2022_0402_215_133,2022-04-02T00:00:00+00:00,46ers Giessen,133,MLP Academics Heidelberg,215,81,95,visitante,2021-22,0
2022_0402_127_450,2022-04-02T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,Ratiopharm Ulm,127,82,83,visitante,2021-22,0
2022_0402_1634_219,2022-04-02T00:00:00+00:00,FC Bayern Muenchen Basketball,219,EWE Baskets Oldenburg,1634,75,106,visitante,2021-22,0
2022_0403_132_3361,2022-04-03T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,Bamberg Baskets,132,72,75,visitante,2021-22,0
2022_0403_40_214,2022-04-03T00:00:00+00:00,BG Goettingen,214,Basketball Loewen Braunschweig,40,64,101,visitante,2021-22,0
2022_0403_2745_1791,2022-04-03T00:00:00+00:00,NINERS Chemnitz,1791,FITOne Wuerzburg Baskets,2745,71,81,visitante,2021-22,0
2022_0404_10_134,2022-04-04T00:00:00+00:00,Medi Bayreuth,134,ALBA Berlin,10,53,87,visitante,2021-22,0
2022_0406_2315_450,2022-04-06T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,Merlins Crailsheim,2315,93,90,local,2021-22,0
2022_0406_214_3361,2022-04-06T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,BG Goettingen,214,72,76,visitante,2021-22,0
2022_0408_132_1791,2022-04-08T00:00:00+00:00,NINERS Chemnitz,1791,Bamberg Baskets,132,89,79,local,2021-22,0
2022_0409_134_2745,2022-04-09T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Medi Bayreuth,134,83,77,local,2021-22,0
