match_id,temporada,fecha,jornada,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_t3_pct_avg_5,home_t2_pct_avg_5,home_reb_avg_5,home_ast_avg_5,home_val_avg_5,away_t3_pct_avg_5,away_t2_pct_avg_5,away_reb_avg_5,away_ast_avg_5,away_val_avg_5,val_diff_5,home_streak_5,away_streak_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
101225,2020-21,2020-10-18 16:30:00+00:00,6,TD Systems Baskonia,Barça,3,2,83.0,80.8,0.6,83.33333333333333,73.33333333333333,1.0,-0.3333333333333286,-0.4,83.0,80.8,0.6,83.33333333333333,73.33333333333333,1.0,-0.3333333333333286,-0.4,0.32632,0.5084000000000001,29.4,18.0,87.0,0.4674333333333333,0.4977666666666667,35.666666666666664,21.0,98.66666666666667,-11.666666666666671,1.0,3.0,0.0,0.0,0.5,1,1
101220,2020-21,2020-10-18 18:00:00+00:00,6,Herbalife Gran Canaria,Unicaja,5,14,74.2,93.2,0.2,76.2,78.8,0.4,-2.0,-0.2,74.2,93.2,0.2,76.2,78.8,0.4,-2.0,-0.2,0.33994,0.46342,27.4,13.6,65.2,0.32348,0.50808,25.2,16.4,73.2,-8.0,-3.0,-1.0,0.0,0.0,0.5,1,0
101285,2020-21,2020-10-20 17:00:00+00:00,4,Barça,Acunsa GBC,2,7,80.25,75.5,0.75,73.25,82.0,0.25,7.0,0.5,80.25,75.5,0.75,73.25,82.0,0.25,7.0,0.5,0.42464999999999997,0.490975,34.5,20.0,93.25,0.3255,0.461525,30.0,14.0,68.0,25.25,2.0,-2.0,0.0,0.0,0.5,1,1
101275,2020-21,2020-10-20 19:15:00+00:00,5,Real Madrid,Monbus Obradoiro,9,57,91.25,70.5,1.0,86.8,82.6,0.8,4.450000000000003,0.19999999999999996,91.25,70.5,1.0,86.8,82.6,0.8,4.450000000000003,0.19999999999999996,0.41309999999999997,0.620225,37.5,21.0,113.0,0.36826,0.59742,31.0,17.0,92.4,20.599999999999994,4.0,3.0,0.0,0.0,0.5,1,1
101227,2020-21,2020-10-24 16:00:00+00:00,7,BAXI Manresa,Coosur Real Betis,10,15,81.2,83.4,0.4,76.8,81.0,0.2,4.400000000000006,0.2,82.33333333333333,83.5,0.5,76.8,81.0,0.2,5.533333333333331,0.3,0.3302,0.53958,31.0,21.0,84.0,0.31496,0.50552,30.8,13.2,76.8,7.200000000000003,-1.0,-3.0,0.0,0.0,0.5,1,1
101215,2020-21,2020-10-24 16:00:00+00:00,7,Valencia Basket Club,Casademont Zaragoza,13,16,79.4,78.4,0.4,84.4,85.8,0.4,-5.0,0.0,79.4,78.4,0.4,84.66666666666667,86.66666666666667,0.3333333333333333,-5.266666666666666,0.06666666666666671,0.34853999999999996,0.5779799999999999,30.8,17.2,90.2,0.30892,0.5432,35.0,17.8,87.6,2.6000000000000085,-1.0,-1.0,0.0,0.0,0.5,1,1
101210,2020-21,2020-10-24 18:45:00+00:00,7,Club Joventut Badalona,TD Systems Baskonia,8,3,80.2,79.6,0.6,84.2,80.4,0.6,-4.0,0.0,80.33333333333333,78.5,0.6666666666666666,82.83333333333333,79.16666666666667,0.6666666666666666,-2.5,0.0,0.41292,0.5363800000000001,29.0,19.2,84.4,0.33466,0.52448,30.8,18.0,89.2,-4.799999999999997,1.0,1.0,0.0,0.0,0.5,1,1
101228,2020-21,2020-10-24 18:45:00+00:00,7,Acunsa GBC,Urbas Fuenlabrada,7,17,70.6,83.0,0.2,84.6,93.0,0.0,-14.0,0.2,70.6,83.0,0.2,84.6,93.0,0.0,-14.0,0.2,0.32126,0.45214,30.4,14.0,62.6,0.3548,0.54378,30.0,14.4,82.4,-19.800000000000004,-3.0,-5.0,0.0,0.0,0.5,1,0
101212,2020-21,2020-10-25 11:30:00+00:00,7,Unicaja,Iberostar Tenerife,14,28,78.4,78.6,0.6,86.6,81.4,1.0,-8.199999999999989,-0.4,77.5,79.0,0.5,86.6,81.4,1.0,-9.099999999999994,-0.5,0.35282,0.5208999999999999,26.6,16.6,78.2,0.37684,0.5405599999999999,30.4,17.8,92.6,-14.399999999999991,1.0,5.0,0.0,0.0,0.5,1,0
101211,2020-21,2020-10-25 12:00:00+00:00,7,Herbalife Gran Canaria,Monbus Obradoiro,5,57,68.8,89.6,0.0,82.0,83.0,0.6,-13.200000000000003,-0.6,75.16666666666667,91.66666666666667,0.16666666666666666,85.16666666666667,82.83333333333333,0.6666666666666666,-10.0,-0.5,0.34904,0.4445,27.6,13.2,60.4,0.37414,0.5566199999999999,29.6,15.2,83.0,-22.6,-5.0,1.0,0.0,0.0,0.5,1,0
101213,2020-21,2020-10-25 17:30:00+00:00,7,Real Madrid,Movistar Estudiantes,9,6,89.8,71.8,1.0,84.2,81.6,0.6,5.599999999999994,0.4,89.8,71.8,1.0,84.16666666666667,82.66666666666667,0.5,5.633333333333326,0.5,0.38761999999999996,0.61174,37.2,19.2,109.6,0.44055999999999995,0.5053799999999999,30.8,14.4,80.6,29.0,5.0,1.0,0.0,0.0,0.5,1,1
101216,2020-21,2020-10-25 19:00:00+00:00,7,Barça,MoraBanc Andorra,2,22,81.6,72.4,0.8,79.4,81.4,0.4,2.1999999999999886,0.4,81.6,72.4,0.8,80.16666666666667,78.83333333333333,0.5,1.433333333333323,0.30000000000000004,0.37048000000000003,0.51042,35.0,22.0,99.4,0.38634,0.50412,33.2,15.6,82.8,16.60000000000001,3.0,-1.0,0.0,0.0,0.5,1,1
